Transaction,Vendor,Category,  Amount  
8001479150,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£1,959.71"
8001484321,EXTRA MILE CARE COMPANY,Social care,"£1,959.52"
8001477423,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£1,958.43"
1900783961,CROYDON COUNCIL,Finance,"£1,956.50"
8001477418,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£1,954.84"
8001477404,JEWISH CARE,Temporary Accommodation,"£1,952.19"
8001481941,SHAW HEALTHCARE,Temporary Accommodation,"£1,952.05"
8001498573,THE GRANGE,Temporary Accommodation,"£1,950.70"
8001498673,MAISON MOTI LTD,Temporary Accommodation,"£1,950.17"
8001479334,ASTON GRANGE LTD,Temporary Accommodation,"£1,948.55"
8001479201,RENAISSANCE PERSONNEL LIMITED,Social care,"£1,947.00"
8001481281,VINEYARD (UK) SERVICES LTD,Social care,"£1,947.00"
8001478763,ANCYRA HEALTH LTD (IN ADMINISTRATIO,Temporary Accommodation,"£1,945.88"
8001477306,QUANTUM CARE LIMITED,Temporary Accommodation,"£1,945.88"
8001496701,OURRIS PROPERTIES LIMITED,Temporary Accommodation,"£1,944.14"
8001498564,QUANTUM CARE LIMITED,Temporary Accommodation,"£1,941.92"
8001477349,THE ABBEYFIELD NORTH LONDON SOCIETY,Temporary Accommodation,"£1,940.61"
8001498484,MELROSE HOUSE,Temporary Accommodation,"£1,939.28"
5201110484,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£1,937.99"
8001496898,TORRINGTON HOMES,Temporary Accommodation,"£1,937.50"
