Transaction,Vendor,Category,Amount
5201099105,RM Education PLC,IT and Telecoms,"£131,848.03"
5201100674,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£122,638.65"
5201100695,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£114,478.55"
5201101817,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£114,185.62"
1900775394,CANAL & RIVER TRUST,Public Realm,"£100,000.00"
5201099118,VINCI CONSTRUCTION UK LTD,"Construction, Property and Fac Man","£90,920.28"
1900777360,TADLEY HORIZON PRIORY,Children and Education,"£88,180.77"
5201099232,VEOLIA ES (UK) LTD,Public Realm,"£86,718.66"
5201101802,VINCI CONSTRUCTION UK LTD,"Construction, Property and Fac Man","£83,245.36"
200332107,ONE HOUSING GROUP LTD,Social Care,"£78,039.69"
200332620,ONE HOUSING GROUP LTD,Social Care,"£78,039.69"
200332104,EPIC TRUST - SWALLOW HOUSE,Social Care,"£76,923.00"
200332617,EPIC TRUST - SWALLOW HOUSE,Social Care,"£76,923.00"
5201099881,BALFOUR BEATTY WORKPLACE LTD,General,"£75,723.59"
200332118,METROPOLITAN SUPPORT TRUST,Social Care,"£71,854.38"
200332631,METROPOLITAN SUPPORT TRUST,Social Care,"£71,854.38"
1900777361,COXLEASE SCHOOL PRIORY,Children and Education,"£70,000.00"
1900776154,PROPERTY COMPANY LONDON LTD,Temporary Accommodation,"£68,512.09"
1900776097,THE PROPERTY CENTRE LONDON LTD,Temporary Accommodation,"£68,512.09"
5201100811,VEOLIA ES (UK) LTD,Public Realm,"£67,310.98"
1900776438,NCYPE,Children and Education,"£62,654.33"
1900777362,COXLEASE SCHOOL PRIORY,Children and Education,"£60,000.00"
1900775412,PLEXUS LAW CLIENT ACCOUNT,Finance,"£60,000.00"
200332119,EPIC TRUST - SWALLOW HOUSE,Social Care,"£59,804.00"
200332632,EPIC TRUST - SWALLOW HOUSE,Social Care,"£59,804.00"
5201101803,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£58,394.95"
5201101641,ORACLE CORPORATION UK LTD,IT and Telecoms,"£55,668.26"
5201099249,LOGICALIS UK LTD,IT and Telecoms,"£55,654.00"
8001432782,BARNARDO'S,Social Care,"£49,171.57"
200332120,ST MUNGOS HOUSING ASSOCIATION,Social Care,"£48,308.00"
200332633,ST MUNGOS HOUSING ASSOCIATION,Social Care,"£48,308.00"
1900775265,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£48,241.11"
5201100293,RUSKIN PRIVATE HIRE LTD,Travel,"£48,223.66"
1900775696,ACTION FOR BLIND PEOPLE,Children and Education,"£48,000.00"
1900776079,ACTION FOR BLIND PEOPLE,Children and Education,"£48,000.00"
1900776983,CIVICA UK LTD,IT and Telecoms,"£47,453.14"
5201099116,VOLKERHIGHWAYS LTD,Public Realm,"£47,103.16"
1900776865,SCCI ALPHATRACK LTD,"Construction, Property and Fac Man","£46,578.41"
5201101968,WESTMINSTER DRUG PROJECT LTD,General,"£45,903.75"
1900776937,ALPHATRACK SYSTEMS LTD,"Construction, Property and Fac Man","£45,843.98"
5201101439,REDACTED PERSONAL DATA,"Construction, Property and Fac Man","£43,347.65"
5201099117,VOLKERHIGHWAYS LTD,Public Realm,"£42,639.53"
5201099899,VICTIM SUPPORT,Children and Education,"£41,667.00"
1900775937,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£41,098.99"
5201100295,STAR CARS LTD,Travel,"£40,539.83"
5201100630,LOCAL GOVERNMENT ASSOCIATION,Learning and Development,"£40,000.00"
5201100697,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£39,568.42"
1900776519,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£38,355.56"
5201101965,WESTMINSTER DRUG PROJECT LTD,General,"£37,967.77"
200332134,ST MUNGOS HOUSING ASSOCIATION,Social Care,"£37,564.19"
200332647,ST MUNGOS HOUSING ASSOCIATION,Social Care,"£37,564.19"
5201100050,IMPOWER CONSULTING LTD,Recruitment and People,"£37,260.86"
1900775930,THE WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£36,763.00"
5201100460,HARINGEY ADVISORY GRP ON ALCOHOL,Social Care,"£36,224.25"
1900776404,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£36,166.28"
200332095,ST MUNGOS HOUSING ASSOCIATION,Social Care,"£35,777.08"
200332608,ST MUNGOS HOUSING ASSOCIATION,Social Care,"£35,777.08"
5201100070,METROPOLITAN POLICE AUTHORITY,General,"£35,000.00"
1900776522,LC MITSIOU AND SON LIMITED,Temporary Accommodation,"£32,453.85"
1900776084,BRUCE GROVE PRIMARY SCHOOL,Children and Education,"£32,000.00"
5201101092,VOLKERHIGHWAYS LTD,Public Realm,"£31,402.82"
5201101816,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£30,846.00"
5201100297,B & L COACHES,Travel,"£30,258.24"
1900775623,JLA TOTAL CARE LTD,General,"£30,000.00"
